"Offense","Count"
"SODOMY",1206
"STATUTORY RAPE-2ND DEGRE",1003
"RAPE",896
"CHILD MOLEST-1ST DEGREE",793
"STATUTORY SODOMY-2ND DEG",766
"SEXUAL ASSAULT",724
"SEXUAL ABUSE 1ST DEGREE",553
"SEXUAL MISCONDUCT-1ST",541
"STATUTORY SODOMY-1ST DEG",493
"SEXUAL ABUSE",482
"DEVIATE SEXUAL ASSAULT",423
"STATUTORY RAPE-1ST DEGRE",381
"CHILD MOLEST-2ND DEGREE",370
"POSSESSION OF CHILD PORNOGRAPHY",255
"STAT SODOMY-1ST DEG-PERS UND 14",175
"STAT RAPE-1ST DEG-PERS UNDER 14",164
"SEX MISCON-CHILD-1ST OFF",157
"INCEST",155
"SEXUAL MISCONDUCT-2ND",143
"SEX MISCD/ATMP INVL CHLD-1ST OFNS",139
"ENDANGERING WELFARE OF A CHILD-1ST DEGREE",138
"CHILD MOLESTATION-1ST",128
"ATTEMPTED RAPE",105
"SEXUAL BATTERY",105
"AGGRAVATED CRIMINAL SEXUAL ABUSE",103
"SEXUAL ABUSE 2ND DEGREE",91
"CHILD MOLESTATION",83
"ENDANGER WELFARE CHILD",76
"SEX MISC-1ST-PRIOR CONV/WEAPON",58
"SEX ABUSE 3RD DEGREE",56
"STATUTORY SODOMY - FIRST DEGREE",52
"RAPE/ATMPT RAPE W/ WEAPON",49
"AGGRAVATED CRIMINAL SEXUAL ASSAULT",48
"INDECENT LIBERTIES WITH A CHILD",46
"SEXUAL ASLT 2ND DEG",42
"ATTEMPTED SODOMY",39
"AGGRAVATED SEXUAL ASSAULT",38
"SEXUAL MISCONDUCT-3RD",38
"ATTEMPTED CHILD MOLEST-1ST DEGREE",37
"INDECENT EXPOSURE",37
"ABUSE OF CHILD",35
"CRIMINAL SEXUAL ASSAULT",33
"CRIMINAL SEXUAL ABUSE",32
"SEXUAL ASSAULT 2ND DEGREE",32
"SODOMY - PHYS INJ/WEAPON",32
"SEXUAL ABUSE 3RD DEGREE",31
"AGGRAVATED SEXUAL BATTERY",29
"AGGRAVATED INDECENT LIBERTIES WITH A CHILD",28
"ATTEMPTED SEXUAL ASSAULT",28
"CHLD MOLST-2ND DEG-INJRY",28
"STATUTORY RAPE",28
"FURN PORNO/ATMPT TO MINOR",27
NA,27
"SEXUAL ASSAULT OF A CHILD",25
"USE CHILD-SEXUAL PERFORM",25
"AGGRAVATED INCEST",23
"ATTEMPTED STATUTORY RAPE-2ND DEGRE",23
"CHILD MOLEST-1ST-WEAPON",23
"CRIMINAL SEXUAL CONDUCT 2ND DEGREE",23
"SEXUAL ASSAULT 1ST DEGREE",23
"PROM CHILD PORNO 1ST DEG",22
"RAPE 2ND DEGREE",22
"SEX CONT W/INMATE-EMP OF COR FAC",22
"AGGRAVATED SEXUAL ASSAULT OF A CHILD",21
"ATTEMPTED STATUTORY SODOMY-2ND DEG",21
"ENTICE CHILD <15-ACTOR 21/OVER",21
"CRIMINAL SEXUAL CONDUCT 3RD DEGREE",20
"INDECENT SOLICITATION OF A CHILD",20
"POSS CHILD PORN-2ND OR VID/PIC",20
"SEXUAL MISCONDUCT",20
"STAT RAPE-1ST-WEAP/MULTI-UND 12",20
"CHILD PORNOGRAPHY",19
"SEX ABUSE-WEP/INJ->1PER/VIC<14",19
"SEX MISCONDUCT-2ND-P/O",19
"ATTEMPTED STATUTORY SODOMY-1ST DEG",18
"CHILD MOLES-1ST DEG-INJRY",18
"DEV SEX ASSLT 2ND DEGREE",18
"RAPE 3RD DEGREE",18
"SEXUAL ASSAULT ON A CHILD",18
"ATMPT-ENTICE CHILD<15-ACTR 21/OVR",17
"INDECENCY WITH A CHILD",17
"ATTEMPTED DEVIATE SEXUAL ASSAULT",16
"ATTEMPTED STATUTORY RAPE-1ST DEGRE",16
"ENDNG WELFARE OF CHILD-2ND DEGREE",16
"FORCIBLE SODOMY-DEV SEXUAL INT",16
"LASCIVIOUS ACTS WITH A CHILD",16
"LEWD AND LASCIVIOUS ACTS",16
"CRIMINAL SEXUAL CONDUCT 4TH DEGREE",15
"POSS CHILD PORN MATERIAL",15
"SEX ABUSE 1ST - PHY HARM",15
"FORCIBLE RAPE",14
"INDECENT LIBERTIES WITH CHILD",14
"LEWD MOLESTATION",14
"RAPE 1ST DEGREE",14
"SEXUAL ASSAULT ON CHILD",14
"SEXUAL EXPLOITATION OF A CHILD",14
"ATTEMPTED STAT SODOMY-1ST DEG-PERS UND 14",13
"CHLD MOLES-1ST DEG-INJRY",13
"CRIMINAL SEXUAL CONDUCT",13
"GROSS SEXUAL IMPOSITION",13
"LEWD OR LASCIVIOUS ACTS WITH A CHILD UNDER 14",13
"SEX MISCON-CHILD-2ND OFF",13
"FELONIOUS RESTRAINT",12
"INDECENT LIBERTIES WITH MINOR",12
"AGGRAVATED SEXUAL ABUSE",11
"ATTEMPTED AGGRAVATED INDECENT LIBERTIES WITH A CHILD",11
"ATTEMPTED SEXUAL ABUSE",11
"FORCIBLE RAPE - FORCIBLE COMPULSION",11
"FORCIBLE SODOMY",11
"KIDNAPPING",11
"LEWD AND LASCIVIOUS BEHAVIOR",11
"RAPE BY FORCE",11
"SEXUAL ABUSE OF A CHILD",11
"SEXUAL ASSAULT 3RD DEGREE",11
"ATTEMPTED AGGRAVATED SEXUAL BATTERY",10
"ATTEMPTED RAPE/ATMPT RAPE W/ WEAPON",10
"DV SEX ASLT 1ST DDW/INJ",10
"FORC SODOMY-W WPN OR INJ",10
"INDECENT ASSAULT",10
"INDECENT LIBERTIES",10
"ORAL COPULATION",10
"SEXUAL EXPLOITATION OF A MINOR",10
"AGGRAVATED CRIMINAL SODOMY",9
"AGGRAVATED INDECENT SOLICITATION OF A CHILD",9
"ATTEMPTED SEXUAL BATTERY",9
"CHILD/SEX PERFORMANCE",9
"CRIMINAL SEXUAL CONDUCT 1ST DEGREE",9
"INDECENCY WITH CHILD",9
"INDECENT LIBERTIES WITH A MINOR",9
"LEWD AND LASCIVIOUS ACTS WITH A CHILD",9
"PROM CHILD PORNO-2ND DEG",9
"SEXUAL ASSAULT 4TH DEGREE",9
"ASSAULT TO COMMIT RAPE",8
"ATTEMPTED CHILD MOLESTATION",8
"ATTEMPTED INDECENT LIBERTIES WITH A CHILD",8
"CARNAL KNOWLEDGE",8
"LEWD OR LASCIVIOUS ACTS WITH A CHILD",8
"LEWD OR LASCIVIOUS ACTS WITH CHILD UNDER 14",8
"PREDATORY CRIMINAL SEXUAL ASSAULT",8
"AGGRAVATED INDECENT LIBERTIES W/CHILD",7
"ANNOY/MOLEST CHILDREN",7
"ASSAULT WITH INTENT TO COMMIT RAPE",7
"ASSAULT WITH INTENT TO COMMIT SEXUAL ABUSE",7
"ATTEMPTED STAT RAPE-1ST DEG-PERS UNDER 14",7
"INDECENCY WITH A CHILD-SEXUAL CONTACT",7
"LEWD & LASCIVIOUS ACTS",7
"LEWD & LASCIVIOUS ACTS WITH A CHILD",7
"RAPE OF A CHILD",7
"AGGRAVATED RAPE",6
"AGGRAVATED SEXUAL ASSAULT CHILD",6
"ATMP ENTICE-ACTOR > 21/CHILD < 15",6
"ATTEMPTED ENTICE CHILD <15-ACTOR 21/OVER",6
"ATTEMPTED SEX MISCD/ATMP INVL CHLD-1ST OFNS",6
"INDECENT CONTACT WITH A CHILD",6
"LEWD/LASCIVIOUS ACTS WITH A CHILD",6
"PROMOT PROST - 3RD DEG",6
"PROMOTING OBSCENITY-1ST DEGREE",6
"RECEIPT OF CHILD PORNOGRAPHY",6
"SEX MISCD/ATMP INVL CHLD 2ND/SUB",6
"SEXUAL EXPLOITATION-CHILD",6
"AGGRAVATED INDECENT LIBERTIES WITH CHILD",5
"ATTEMPT FORCIBLE RAPE",5
"ATTEMPTED AGGRAVATED INDECENT LIBERTIES",5
"ATTEMPTED AGGRAVATED INDECENT LIBERTIES W/CHILD",5
"ATTEMPTED ATTEMPT FORCIBLE RAPE",5
"ATTEMPTED SEXUAL ABUSE 1ST DEGREE",5
"CARNAL ABUSE 1ST DEGREE",5
"CHILD MOLEST-2ND-WEAPON",5
"CHILD MOLESTATION 1ST DEGREE",5
"CONSPIRACY RAPE",5
"RECEIPT OF CHILD PORNOGRAPHY OVER THE INTERNET",5
"SEX ABUS 2ND PHYS HARM",5
"SEX WITH A MINOR",5
"SEXUAL ABUSE 1ST",5
"SEXUAL CONDUCT WITH A MINOR",5
"SEXUAL CONDUCT WITH MINOR",5
"SEXUAL MISCONDUCT WITH A MINOR",5
"SODOMY 1ST DEGREE",5
"2ND DEGREE SEXUAL ASSAULT OF A CHILD",4
"AGE MISREP W/INTENT SOLCT MINOR",4
"AGG CRIMINAL SEXUAL ABUSE",4
"AGGRAVATED INDECENT SOLICITATION",4
"AGGRAVATED INDECENT SOLICITATION OF CHILD",4
"AGGRAVATED SODOMY",4
"ASSAULT WITH INTENT TO COMMIT SEX ABUSE",4
"ATTEMPTED CHILD MOLESTATION-1ST",4
"ATTEMPTED FORCIBLE RAPE",4
"ATTEMPTED PROM SEX PERFORM BY CHID",4
"ATTEMPTED SEXUAL ASSAULT 2ND DEGREE",4
"CARNAL ABUSE 3RD DEGREE",4
"CRIMINAL SEXUAL CONDUCT 2ND",4
"CRIMINAL SEXUAL CONDUCT 4TH DEGREE (FORCE OR COERCION)",4
"DISTRIBUTION OF CHILD PORNOGRAPHY",4
"DV SEX ASSLT 2ND DDW/INJ",4
"ENTICE CHILD-ACTOR 21-CHLD<15",4
"INDECENT ACTS WITH A MINOR",4
"INDECENT LIBERTIES W/CHILD",4
"INDECENT SOLICITATION OF CHILD",4
"LEWD & LASCIVIOUS BEHAVIOR",4
"LEWD AND LASCIVIOUS ACTS WITH CHILD",4
"LEWD AND LASCIVIOUS ACTS WITH CHILD UNDER 14",4
"LEWD AND LASCIVIOUS CONDUCT",4
"LEWD OR INDECENT PROPOSALS/ACTS TO A CHILD",4
"LEWD OR INDECENT PROPOSALS/ACTS TO CHILD",4
"MOLESTATION OF A JUVENILE",4
"POSSESSION CHILD PORNOGRAPHY",4
"SEXUAL ABUSE OF A MINOR",4
"SEXUAL ASSAULT 1ST",4
"SEXUAL ASSAULT 2ND",4
"SEXUAL ASSAULT 3RD",4
"SEXUAL ASSAULT OF A CHILD 2ND DEGREE",4
"SEXUAL MOLESTATION",4
"SODOMY 2ND DEGREE",4
"SODOMY 3RD DEGREE",4
"STATUTORY RAPE 2ND DEGREE",4
"1ST DEGREE SEXUAL ASSAULT",3
"AGG INDECENT LIBERTIES WITH A CHILD",3
"AGGRAVATED CRIMINAL SEXUAL ABUSE/VICTIM 13-16",3
"AGGRAVATED INDECENT LIBERTIES",3
"AGGRAVATED SEXUAL ASSAULT OF CHILD",3
"AGGRAVATED SEXUAL ASSAULT ON A CHILD",3
"AGGREVATED CRIMINAL SEXUAL ASSAULT",3
"ATMP STAT SOD-1ST-INJ/WEP-VIC<12",3
"ATTEMPT RAPE",3
"ATTEMPTED AGGRAVATED INDECENT LIBERTIES WITH CHILD",3
"ATTEMPTED AGGRAVATED SOLICITATION OF A CHILD",3
"ATTEMPTED CRIMINAL SODOMY",3
"ATTEMPTED FORCIBLE RAPE - FORCIBLE COMPULSION",3
"ATTEMPTED RAPE 1ST DEGREE",3
"ATTEMPTED SEXUAL MISCONDUCT-1ST",3
"ATTEMPTED SODOMY - PHYS INJ/WEAPON",3
"CHILD MOLESTATION 2ND DEGREE",3
"CONSPIRACY SEXUAL ASSAULT",3
"CONTINUOUS SEXUAL ABUSE OF A CHILD",3
"CORRUPTION OF A MINOR",3
"CRIMINAL SODOMY",3
"ELECTRONIC SOLICITATION OF A CHILD",3
"ENDNGR WLFR CHILD-1ST-SEX CNDT",3
"ENTICE CHILD-ACTOR>21/CHILD<15",3
"ENTICEMENT OF A CHILD",3
"FORC RAPE-INJ/WEP->1PRSN/VIC<12",3
"GROSS SEXUAL ASSAULT",3
"INDECENCY WITH A CHILD SEXUAL CONTACT",3
"INDECENT ACTS",3
"INDECENT ASSAULT AND BATTERY OF A CHILD UNDER 14",3
"INDECENT SOLICITATION",3
"INDECENY WITH A CHILD",3
"LASCIVIOUS ACTS WITH CHILD",3
"LEWD & LASCIVIOUS ACTS WITH CHILD UNDER 14",3
"LEWD & LASCIVIOUS CONDUCT",3
"LEWD ACT WITH A MINOR",3
"LEWD AND LASCIVIOUS ACTS WITH A CHILD UNDER 14",3
"LEWD OR LASCIVIOUS MOLESTATION",3
"LEWD, LASCIVIOUS CHILD UNDER 16",3
"POSSESSION OF OBSCENE MATERIAL",3
"PROM CHILD PORNO 2ND DEG",3
"PROM SEX PERFORM BY CHID",3
"RAPE OF A CHILD 3RD DEGREE",3
"RECEIVING CHILD PORNOGRAPHY",3
"SEX ABUSE 3RD - DD WEAPON",3
"SEX OFFENSE 3RD DEGREE",3
"SEXUAL ABUSE 2ND",3
"SEXUAL ASSAULT OF A MINOR",3
"SEXUAL IMPOSITION",3
"SEXUAL INTERCOURSE",3
"UNLAWFUL SEXUAL ACTIVITY WITH A MINOR",3
"UNLAWFUL SEXUAL CONTACT",3
"UNLAWFUL SEXUAL INTERCOURSE",3
"UNLAWFUL SEXUAL INTERCOURSE WITH MINOR",3
"1ST DEGREE SEXUAL ABUSE",2
"2ND DEGREE SEXUAL ASSAULT OF CHILD",2
"3RD DEGREE SEXUAL ASSAULT",2
"AGG CRIM SEX ABUSE",2
"AGGRAVATED CRIMINAL SEX ABUSE",2
"AGGRAVATED FELONIOUS SEXUAL ASSAULT",2
"AGGRAVATED LIBERTIES WITH A CHILD",2
"AGGRAVATED SEXUAL ASSAULT WITH CHILD",2
"ASSAULT W/INTENT TO COMMIT SEXUAL ABUSE",2
"ASSAULT W/INTENT TO COMMIT SEXUAL PENETRATION",2
"ASSAULT WITH INTENT TO RAPE",2
"ATT ENTICE CHILD-ACT21-CHLD<15",2
"ATTEMPT CRIMINAL SEXUAL ASSAULT",2
"ATTEMPT FORCIBLE SODOMY",2
"ATTEMPT TO RECEIVE CHILD PORNOGRAPHY",2
"ATTEMPTED ABUSE OF CHILD",2
"ATTEMPTED AGGRAVATED CRIMINAL SODOMY",2
"ATTEMPTED AGGRAVATED INCEST",2
"ATTEMPTED AGGRAVATED INDECENT SOLICITATION OF A CHILD",2
"ATTEMPTED ATMP ENTICE-ACTOR > 21/CHILD < 15",2
"ATTEMPTED FORC SODOMY-W WPN OR INJ",2
"ATTEMPTED FURN PORNO/ATMPT TO MINOR",2
"ATTEMPTED INDECENT SOLICITATION OF A CHILD",2
"ATTEMPTED RECEIPT OF CHILD PORNOGRAPHY OVER THE INTERNET",2
"ATTEMPTED SEXUAL ASSAULT OF A CHILD",2
"ATTEMPTED SEXUAL ASSAULT ON A CHILD",2
"ATTEMPTED SEXUAL CONDUCT WITH MINOR",2
"ATTEMPTED STATUTORY SODOMY - FIRST DEGREE",2
"CARNAL ABUSE",2
"CARNAL KNOWLEDGE OF A JUVENILE",2
"CARNAL KNOWLEDGE OF A MINOR",2
"CHILD FONDLING",2
"CHILD MOLEST-1ST DEG-VIC<12-PREV",2
"CHILD MOLESTING",2
"COMPUTER CHILD PORNOGRAPHY",2
"CONSPIRACY STATUTORY RAPE-2ND DEGRE",2
"CRIMES AGAINST NATURE",2
"CRIMINAL ATTEMPTED RAPE",2
"CRIMINAL SEXUAL CONDUCT 3RD",2
"CRIMINAL SEXUAL MISCONDUCT",2
"CRIMINAL SEXUAL MISCONDUCT 2ND DEGREE",2
"CRIMINAL SEXUAL PENETRATION OF A MINOR",2
"FELONIOUS SEXUAL ASSAULT",2
"FORCIBLE TOUCHING",2
"FURN PORNO/ATMPT MINORS-2ND OFNS",2
"INDECENCY WITH CHILD BY CONTACT",2
"INDECENCY WITH MINOR",2
"INDECENT ACTS WITH A CHILD",2
"INDECENT ACTS WITH CHILD",2
"INDECENT LIBERTIES W/ A CHILD",2
"INDECENT LIBERTIES W/ MINOR",2
"INDECENT LIBERTIES W/MINOR",2
"INTERSTATE TRAVEL TO ATTEMPT TO ENGAGE IN SEXUAL ACT WITH A MINOR",2
"KIDNAP-FACIL FEL/INJURY/TERROR",2
"KIDNAPPING OF A SEXUAL NATURE",2
"LASCIVIOUS ACTS",2
"LASCIVIOUS ACTS WITH A MINOR",2
"LEWD ACT ON CHILD UNDER 14",2
"LEWD ACT UPON A CHILD",2
"LEWD ACTS UPON A CHILD",2
"LEWD ACTS WITH MINOR",2
"LEWD AND LACIVIOUS ACTS WITH A CHILD",2
"LEWD AND LACIVIOUS BEHAVIOR",2
"LEWD AND LASCIVIOUS ACTS WITH MINOR",2
"LEWD AND LASCIVIOUS MOLESTATION",2
"LEWD CONDUCT WITH A CHILD",2
"LEWD CONDUCT WITH A MINOR",2
"LEWD CONDUCT WITH MINOR",2
"LEWD OR LASCIVIOUS ACT WITH A CHILD",2
"LEWD/LASCIVIOUS ACT WITH A CHILD",2
"LEWD/LASCIVIOUS BEHAVIOR",2
"ORAL COPULATION WITH PERSON UNDER 18",2
"PANDERING A CHILD",2
"POSS OF CHILD PORNOGRAPHY",2
"POSSESS CHILD PORN-2ND OFFENSE",2
"POSSESSESSION OF CHILD PORNOGRAPHY",2
"POSSESSION OF CHILD PORN",2
"POSSESSION OF CHILD PORNGRAPHY",2
"POSSESSION OF PORNOGRAPHIC MATERIALS",2
"POSSESSION OF PORNOGRAPHY",2
"PROMOT PROST - 1ST DEG",2
"PROMOT PROST - 2ND DEG",2
"PROMOTE CHILD PORN TO MINOR-1ST DEG",2
"PUBLIC SEXUAL INDECENCY",2
"RAPE BY INSTRUMENTATION",2
"RAPE OF A CHILD 2ND DEGREE",2
"SEX ABUSE 2ND DEGREE",2
"SEX ABUSE 3RD",2
"SEX ASSAULT ON A CHILD",2
"SEX ASSLT 1ST VICT INCA",2
"SEX CONTCT W/STU BY EMPL/VLNTR",2
"SEX OFFENSE",2
"SEX PERM-CHILD-EMOT INJY",2
"SEXUAL ABUSE 3RD",2
"SEXUAL ABUSE IN THE 2ND DEGREE",2
"SEXUAL ASSAULT 2ND DEGREE OF A CHILD",2
"SEXUAL ASSAULT CHILD",2
"SEXUAL ASSAULT OF CHILD",2
"SEXUAL CONDUCT 3RD DEGREE",2
"SEXUAL CONTACT WITH MINOR",2
"SEXUAL EXPLOITATION OF CHILD",2
"SEXUAL INDECENCY WITH A CHILD",2
"SEXUAL INTERCOURSE WITH VICTIM",2
"SEXUAL INTERCOURSE WITHOUT CONSENT",2
"SEXUAL MISCONDUCT WITH MINOR",2
"SEXUAL PENETRATION WITH FOREIGN OBJECT",2
"SEXUAL PERFORMANCE BY A CHILD",2
"SEXUALLY MOTIVATED ASSAULT",2
"SODOMY OF A CHILD",2
"STATUTORY SEXUAL SEDUCTION",2
"STATUTORY SODOMY",2
"TRANSPORTATION OF CHILD PORNOGRAPHY",2
"TRAVEL WITH INTENT TO ENGAGE IN ILLICIT SEXUAL CONDUCT",2
"UNLAWFUL CONTACT WITH MINOR",2
"UNLAWFUL SEX WITH MINOR",2
"UNLAWFUL SEXUAL CONDUCT WITH A MINOR",2
"UNLAWFUL SEXUAL CONTACT 3RD DEGREE",2
"VIOLATION OF A MINOR",2
"VIOLATION OF MINOR 2ND DEGREE",2
"1995 RAPE",1
"1ST DEG SEXUAL ASSAULT - AGAINST CHILD",1
"1ST DEGREE SEXUAL ASSAULT OF CHILD",1
"2ND DEG SEXUAL ASSAULT-AGAINST CHILD",1
"2ND DEGREE CHILD SEXUAL ABUSE",1
"2ND DEGREE RAPE",1
"2ND DEGREE SEXUAL ABUSE",1
"3RD DEGREE CHILD MOLESTATION",1
"3RD DEGREE SEXUAL ABUSE",1
"4TH DEGREE CRIMINAL SEXUAL CONTACT",1
"4TH DEGREE SEXUAL ASSAULT",1
"ABUSE CHILD-PROHIBITED SEX ACT",1
"ABUSIVE SEXUAL CONDUCT",1
"ACCEDING TO CORRUPTION BY PUBLIC SERVANT",1
"ACCESSORY ENDNG WELFARE OF CHILD-2ND DEGREE",1
"ACCESSORY RAPE",1
"ACCESSORY SODOMY",1
"ACCOST/ENTICE CHILD IMMORAL PURPOSES",1
"AFFRAVATED CRIMINAL SEXUAL ABUSE",1
"AGG CRIM SEX ABUSE / VIC 13-16",1
"AGG CRIM SEX ASSLT",1
"AGG CRIM SEXUAL ABUSE",1
"AGG CRIM SEXUAL ASSAULT",1
"AGG CRIMINAL SEXUAL ASSAULT",1
"AGG CRIMINAL SODOMY W/ CHILD FONDLING AND ORAL SEX W/ 7 DIFFERENT VICTIMS",1
"AGG CRIMINAL SODOMY W/ CHILD FONDLING AND ORAL SEX W/ 7DIFFERENT VICTIMS",1
"AGG INDECENT LIB WITH CHILD LESS THAN 14;FONDLING",1
"AGG INDECENT LIBERTIES W/ CHILD ENGAGED IN SEXUAL INTERCOURSE W/ MINOR",1
"AGG INDECENT SOLICITATION OF A CHILD",1
"AGG SEXUAL ABUSE",1
"AGG SEXUAL ASSAULT CHILD",1
"AGG SEXUAL ASSAULT OF A CHILD",1
"AGG SEXUAL BATTERY",1
"AGGERVATED SEX ABUSE",1
"AGGR SEXUAL ASSAULT/SEXUAL ABUSE",1
"AGGRAVATED ASSAULT",1
"AGGRAVATED ASSAULT WITH INTENT TO RAPE",1
"AGGRAVATED CRIMINAL SEX ABUSE/ VIC 13-16",1
"AGGRAVATED CRIMINAL SEX ASSAULT",1
"AGGRAVATED CRIMINAL SEXUAL ABUSE /VICTIM <13",1
"AGGRAVATED CRIMINAL SEXUAL ABUSE OF A CHILD UNDER 13",1
"AGGRAVATED CRIMINAL SEXUAL ABUSE VICTIM UNDER 13",1
"AGGRAVATED CRIMINAL SEXUAL ABUSE WITH CHILD",1
"AGGRAVATED CRIMINAL SEXUAL ABUSE/BODILY HARM",1
"AGGRAVATED CRIMINAL SEXUAL ABUSE/VIC <13",1
"AGGRAVATED CRIMINAL SEXUAL ABUSE/VIC<13",1
"AGGRAVATED CRIMINAL SEXUAL ABUSE/VICTIM <13",1
"AGGRAVATED CRIMINAL SEXUAL ASSAULT WITH A WEAPON",1
"AGGRAVATED CRIMINAL SEXUAL ASSAULT/BODILY HARM",1
"AGGRAVATED CRIMINAL SEXUAL ASSAULT/WEAPON",1
"AGGRAVATED CRIMINAL SEXUAL CONDUCT 2ND DEGREE",1
"AGGRAVATED CRIMINAL SEXUAL FELONY ASSAULT",1
"AGGRAVATED CRIMINAL SODOMY W/CHILD",1
"AGGRAVATED CRIMINAL SODOMY W/CHILD <14",1
"AGGRAVATED CRIMINAL SODOMY WITH AN ANIMAL",1
"AGGRAVATED CRIMINAL SODOMY; SODOMY WITH A CHILD UNDER 14",1
"AGGRAVATED CRIMNAL SEXUAL ABUSE",1
"AGGRAVATED EXPLOITATION OF A MINOR",1
"AGGRAVATED INDECENT LIBERTIES GE 14 LESS THAN 16",1
"AGGRAVATED INDECENT LIBERTIES W/ A MINOR",1
"AGGRAVATED INDECENT LIBERTIES W/CHILD;<14 YOA; LEWD FONDLING/TOUCHING",1
"AGGRAVATED INDECENT LIBERTIES W/CHILD;<14; LEWD FONDLING/TOUCHING",1
"AGGRAVATED INDECENT LIBERTIES W/CHILD<14; LEWD FONDLING/TOUCHING",1
"AGGRAVATED INDECENT LIBERTIES W/MINOR",1
"AGGRAVATED INDECENT LIBERTIES W/MINOR (ATTEMPT)",1
"AGGRAVATED INDECENT LIBERTIES WITH A CHILD BETWEEN 14 AND 16",1
"AGGRAVATED INDECENT LIBERTIES WITH A CHILD LESS THAN 16",1
"AGGRAVATED INDECENT LIBERTIES WITH A CHILD UNDER 16",1
"AGGRAVATED INDECENT LIBERTIES WITH A MINOR CHILD",1
"AGGRAVATED INDECENT LIBERTIES WITH MINOR",1
"AGGRAVATED INDECENT LIBERTIES/SOLICITATION",1
"AGGRAVATED INDECENT SOLICIATION WITH A CHILD",1
"AGGRAVATED INDECENT SOLICITATION CHILD",1
"AGGRAVATED INDECENT SOLICITATION OF A CHILD UNDER 18",1
"AGGRAVATED KIDNAPPING",1
"AGGRAVATED RAPE;USE OF A MINOR FOR OBSCENE PURPOSES",1
"AGGRAVATED SEX BATTERY",1
"AGGRAVATED SEXUAL ASSAULT- INDECENCY WITH A CHILD",1
"AGGRAVATED SEXUAL ASSAULT 1ST DEGREE",1
"AGGRAVATED SEXUAL ASSAULT OF A CHILD 2ND DEGREE",1
"AGGRAVATED SEXUAL ASSAULT OF MINOR",1
"AGGRAVATED SEXUAL ASSAULT WITH A CHILD",1
"AGGRAVATED SEXUAL ASSAULT/SEXUAL ABUSE",1
